date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-08-09,77.52,4099900000.0,4842300000.0,742400000.0,13302432000.0,3.2445747457255054
2019-08-12,76.28,4099900000.0,4842300000.0,742400000.0,13089648000.0,3.1926749432913
2019-08-13,78.44,4099900000.0,4842300000.0,742400000.0,13460304000.0,3.2830810507573354
2019-08-14,75.99,4099900000.0,4842300000.0,742400000.0,13039884000.0,3.1805370862703968
2019-08-15,75.55,4099900000.0,4842300000.0,742400000.0,12964380000.0,3.1621210273421303
2019-08-16,76.66,4099900000.0,4842300000.0,742400000.0,13154856000.0,3.208579721456621
2019-08-19,77.09,4099900000.0,4842300000.0,742400000.0,13228644000.0,3.226577233591063
2019-08-20,76.74,4099900000.0,4842300000.0,742400000.0,13168584000.0,3.211928095807215
2019-08-21,77.58,4099900000.0,4842300000.0,742400000.0,13312728000.0,3.247086026488451
2019-08-22,76.92,4099900000.0,4842300000.0,742400000.0,13199472000.0,3.219461938096051
2019-08-23,73.55,4099900000.0,4842300000.0,742400000.0,12621180000.0,3.0784116685772824
2019-08-26,73.75,4099900000.0,4842300000.0,742400000.0,12655500000.0,3.086782604453767
2019-08-27,72.87,4099900000.0,4842300000.0,742400000.0,12504492000.0,3.049950486597234
2019-08-28,73.37,4099900000.0,4842300000.0,742400000.0,12590292000.0,3.070877826288446
2019-08-29,74.95,4099900000.0,4842300000.0,742400000.0,12861420000.0,3.137008219712676
2019-08-30,75.27,4099900000.0,4842300000.0,742400000.0,12916332000.0,3.150401717115052
2019-09-03,74.17,4099900000.0,4842300000.0,742400000.0,12727572000.0,3.1043615697943854
2019-09-04,76.02,4099900000.0,4842300000.0,742400000.0,13045032000.0,3.1817927266518695
2019-09-05,79.33,4099900000.0,4842300000.0,742400000.0,13613028000.0,3.320331715407693
2019-09-06,79.87,4099900000.0,4842300000.0,742400000.0,13705692000.0,3.342933242274202
2019-09-09,79.72,4099900000.0,4842300000.0,742400000.0,13679952000.0,3.3366550403668382
2019-09-10,80.3,4099900000.0,4842300000.0,742400000.0,13779480000.0,3.360930754408644
