date,LDOS,dcf,Deviation
2012-10-23,26.79,28.94710843373494,-0.0745189606303146
2012-10-24,26.67,29.11710843373494,-0.08404366248468997
2012-10-25,26.84,28.94710843373494,-0.0727916723896096
2012-10-26,26.67,29.41710843373494,-0.09338471998099618
2012-10-31,27.14,29.244594594594595,-0.07196525114366248
2012-11-01,27.65,29.054594594594594,-0.04834328663652776
2012-11-02,27.46,29.374594594594594,-0.06517858785860176
2012-11-05,27.78,29.914594594594593,-0.07135629359256979
2012-11-06,28.32,28.954594594594596,-0.021916887577941302
2012-11-07,27.36,28.554594594594594,-0.04183545981145642
2012-11-08,26.96,28.704594594594596,-0.06077753820369658
2012-11-09,27.11,29.024594594594596,-0.06596455941373125
2012-11-12,27.43,28.904594594594595,-0.05101592377532804
2012-11-13,27.31,28.634594594594596,-0.046258541926228025
2012-11-14,27.04,28.924594594594595,-0.06515543678343505
2012-11-15,27.33,28.784594594594594,-0.050533787780625894
2012-11-16,27.19,29.244594594594595,-0.07025553347812019
2012-11-19,27.65,29.104594594594595,-0.04997817749589095
2012-11-20,27.51,29.594594594594593,-0.07043835616438343
2012-11-21,28.0,30.284594594594594,-0.0754375161753813
2012-11-23,28.69,29.944594594594594,-0.04189719752696419
2012-11-26,28.35,30.034594594594594,-0.05608847455186805
2012-11-27,28.44,30.234594594594594,-0.05935566918153534
2012-11-28,28.64,30.404594594594595,-0.05803710321164124
2012-11-29,28.81,30.064594594594595,-0.041729968805904516
2012-11-30,28.47,29.864594594594596,-0.046697255178779984
2012-12-03,28.27,30.014594594594595,-0.05812487618635975
2012-12-04,28.42,30.404594594594595,-0.06527285172049024
2012-12-05,28.81,29.394594594594594,-0.01988782640676723
2012-12-06,27.8,29.524594594594596,-0.058412134638093804
2012-12-07,27.93,29.594594594594593,-0.05624657534246569
2012-12-10,28.0,29.894594594594594,-0.06337582497061744
2012-12-11,28.3,29.864594594594596,-0.052389614385650596
