CHRW,dcf,Deviation
16.28,17.692717847737896,-0.07984741857614142
16.25,17.372717847737896,-0.06462534288404875
15.93,17.232717847737895,-0.07559561174553209
15.79,17.342717847737894,-0.08953140225022027
15.9,17.412717847737895,-0.08687430997076728
15.97,17.412717847737895,-0.08285425976309146
15.97,17.202717847737894,-0.07165831926377797
15.76,17.152717847737893,-0.08119517035730672
15.71,16.942717847737896,-0.07275797536240514
15.5,16.972717847737893,-0.08676971248503818
15.53,17.042717847737894,-0.08876036447078073
15.6,17.466415228522663,-0.1068573719394239
15.89,17.24641522852266,-0.07864911116597606
